id;menu_order;classe;category;chapitre;slug;status
2;0;NULL;page;NULL;page-d-exemple-2-2;active
735;0;obsolete;exercices;2nde-geometrie-dans-lespace;volume-tetraede;active
766;0;obsolete;exercices;1erees-second-degre;recherche-du-cout-minimum;active
789;0;obsolete;exercices;1erees-fonctions;courbe-cube-140821;active
791;0;obsolete;exercices;1erees-fonctions;courbe-racine-carree;active
795;0;premiere;exercices;1erees-fonctions;sens-variation;active
806;0;premiere;exercices;1erees-fonctions;comparaison-racines-carrees-140821;active
810;0;obsolete;exercices;1erees-fonctions;echelle-de-beaufort;active
814;0;obsolete;exercices;1erees-derivees;courbe-tangentes;active
820;0;obsolete;exercices;1erees-derivees;cout-marginal;active
872;0;obsolete;exercices;1erees-suites-arithmetiques-et-geometriques;qsc-suites-arithmetique-geometrique-1esl-140906;active
874;0;obsolete;exercices;1erees-suites;suite-calculatrice-140823;active
919;0;obsolete;exercices;1erees-echantillonnage;intervalle-fluctuation;active
922;0;obsolete;exercices;1erees-echantillonnage;echantillonnage-panne-informatique;active
929;0;obsolete;exercices;1erees-echantillonnage;algorithme-intervalle-fluctuation;active
935;0;obsolete;methode;1erees-echantillonnage;intervalle-fluctuation-tableur;active
1049;0;obsolete;exercices;ts-lois-normales;calculatrice-loi-normale-1;active
1052;0;obsolete;exercices;ts-lois-normales;calcul-loi-normale-1;active
1061;0;terminale;exercices;ts-estimation;bac-intervalle-fluctuation-asymptotique-1;active
1063;0;obsolete;exercices;ts-estimation;bac-intervalle-de-fluctuation-asymptotique-2;active
1066;0;obsolete;exercices;ts-estimation;intervalle-fluctuation-taille-echantillon;active
1068;0;terminale;exercices;ts-estimation;taux-reussite-bac-intervalle-fluctuation;active
1076;0;tle-complementaire;exercices;tes-exponentielle;bac-fonction-application-economique-140831;active
1079;0;tle-complementaire;exercices;tes-exponentielle;simplification-exponentielle-base-q;active
1083;0;tle-complementaire;exercices;tes-exponentielle;bac-fonction-exponentielle-cout-marginal;active
1125;0;terminale;exercices;tes-spe-matrices;matrice-puissance-inverse-140912;active
1152;0;tle-complementaire;exercices;tes-spe-graphe-probabiliste;matrice-de-transition-bac-es-metropole-2008;active
1165;0;tle-complementaire;exercices;tes-spe-graphe-probabiliste;matrice-transition;active
1183;0;tle-complementaire;exercices;tes-spe-graphe-probabiliste;matrice-transition-suites;active
1190;0;tle-complementaire;exercices;tes-spe-graphe-probabiliste;probabilites-matrice-transition-bac-es-amerique-nord-2008;active
1207;0;tle-complementaire;sommaire_annales;NULL;bac-es-annales-2008;active
1210;0;tle-complementaire;exercices;NULL;qcm-fonctions-bac-es-metropole-2008;active
1219;0;tle-complementaire;exercices;NULL;loi-binomiale-bac-es-metropole-2008-2;active
1239;0;terminale;exercices;ts-variable-aleatoire-continue;probabilites-loi-exponentielle;active
1256;0;terminale;exercices;ts-lois-normales;approximation-loi-binomiale-loi-normale;active
1261;0;terminale;exercices;ts-lois-normales;probabilites-loi-normale;active
1273;0;terminale;exercices;ts-estimation;bac-intervalle-fluctuation-asymptotique-3;active
1331;0;terminale;exercices;ts-exponentielle;roc-limites-exponentielle;active
1333;0;terminale;exercices;ts-exponentielle;etude-fonction-exponentielle-1;active
1341;0;terminale;exercices;ts-exponentielle;exponentielle-limites-tangentes;active
1345;0;terminale;exercices;ts-exponentielle;famille-fonctions-exponentielle;active
1582;0;troisieme;sommaire_annales;NULL;annales-brevet-2013;active
1585;0;troisieme;sommaire_annales;NULL;annales-brevet-2014;active
1590;0;terminale;sommaire_annales;NULL;annales-bac-2008;active
1594;0;terminale;sommaire_annales;NULL;bac-s-annales-2009;active
1596;0;terminale;sommaire_annales;NULL;annales-bac-2011;active
1598;0;terminale;sommaire_annales;NULL;annales-bac-2012;active
1600;0;terminale;sommaire_annales;NULL;annales-bac-2013;active
1604;0;terminale;sommaire_annales;NULL;annales-bac-2014;active
1608;0;NULL;outil;NULL;second-degre;active
1610;0;NULL;calcul;NULL;outil-equation-du-2nd-degre;active
