id;title;status;slug;menu_order;classe;chapitre;difficult;solve;annale;
1786;Calcul d'aire - Fonction - Brevet Métropole 2013;active;aire-fonction-brevet-metropole-2013;4352001;troisieme;3e-notion-de-fonction;2;en-attente-de-correction;brevet-metropole-2013;12135010
1790;Lecture graphique - Fonction - Brevet Métropole 2013;active;fonction-lecture-graphique-brevet-metropole-2013;4352001;troisieme;3e-notion-de-fonction;2;exercice-corrige;brevet-metropole-2013;12135020
1798;Calcul d'angles - Brevet Métropole 2013;active;calcul-angles-brevet-metropole-2013;5;troisieme;NULL;2;NULL;brevet-metropole-2013;12135030
1800;Volume d'un cône - Brevet Métropole 2013;active;volume-cone-brevet-metropole-2013;4702001;troisieme;3e-solides-volumes;2;en-attente-de-correction;brevet-metropole-2013;12135040
1804;QCM - Brevet Métropole 2013;active;qcm-brevet-metropole-2013;7;troisieme;NULL;2;NULL;brevet-metropole-2013;12135050
1806;Calcul de coûts - Brevet Métropole 2013;active;calcul-couts-brevet-metropole-2013;5;troisieme;NULL;2;NULL;brevet-metropole-2013;12135060
1752;Vrai/Faux - Brevet Pondichéry 2013;active;qcm-brevet-pondichery-2013;1;troisieme;NULL;2;NULL;brevet-pondichery-2013;12136010
1754;Statistiques - Brevet Pondichéry 2013;active;statistiques-brevet-pondichery-2013;4802001;troisieme;3e-statistiques;2;en-attente-de-correction;brevet-pondichery-2013;12136020
1762;Proportionnalité Trigonométrie - Brevet Pondichéry 2013;active;proportionnalite-brevet-pondichery-2013;3;troisieme;NULL;2;NULL;brevet-pondichery-2013;12136030
1766;Fonctions - Tableur - Brevet Pondichéry 2013;active;fonctions-tableur-brevet-pondichery-2013;4352001;troisieme;3e-notion-de-fonction;2;en-attente-de-correction;brevet-pondichery-2013;12136040
1774;Volume d'une pyramide - Brevet Pondichéry 2013;active;pyramide-brevet-pondichery-2013;4702001;troisieme;3e-solides-volumes;2;en-attente-de-correction;brevet-pondichery-2013;12136050
1781;Calcul de vitesses - Brevet Pondichéry 2013;active;calcul-vitesse-brevet-pondichery-2013;6;troisieme;NULL;2;NULL;brevet-pondichery-2013;12136060
1740;Trigonométrie - Brevet Métropole 2014;active;trigonometrie-brevet-metropole-2014;4602001;troisieme;3e-theoreme-de-pythagore-trigonometrie;2;en-attente-de-correction;brevet-metropole-2014;12145010
1810;Octogone régulier - Brevet Métropole 2014;active;octogone-regulier-brevet-metropole-2014;1;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2014;12145020
1821;Calculs de réductions - Brevet Métropole 2014;active;calcul-reduction-brevet-metropole-2014;2;troisieme;NULL;2;NULL;brevet-metropole-2014;12145030
1826;Programme de calcul - Brevet Métropole 2014;active;programme-calcul-brevet-metropole-2014;3;troisieme;NULL;2;exercice-corrige;brevet-metropole-2014;12145040
1830;Probabilités - Brevet Métropole 2014;active;probabilites-brevet-metropole-2014;4852001;troisieme;3e-probabilites;2;exercice-corrige;brevet-metropole-2014;12145050
1833;QCM - Brevet Métropole 2014;active;qcm-brevet-metropole-2014;5;troisieme;NULL;2;NULL;brevet-metropole-2014;12145060
1841;Calculs - Aires et coûts - Brevet Métropole 2014;active;calculs-aires-cout-metropole-2014;7;troisieme;NULL;2;exercice-corrige;brevet-metropole-2014;12145070
9897;Probabilités - Brevet Métropole 2017;active;probabilites-brevet-metropole-2017;4852001;troisieme;3e-probabilites;2;en-attente-de-correction;brevet-metropole-2017;12175010
9900;Programme Scratch - Brevet Métropole 2017;active;programme-scratch-brevet-metropole-2017;2;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175020
9906;Fonctions - Brevet Métropole 2017;active;fonctions-brevet-metropole-2017;3;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175030
9910;Panneaux solaires - Brevet Métropole 2017;active;panneaux-solaires-brevet-metropole-2017;4;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175040
9917;Calculs de vitesse - Brevet Métropole 2017;active;calculs-de-vitesse-brevet-metropole-2017;5;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175050
9926;Statistiques - Brevet Métropole 2017;active;statistiques-brevet-metropole-2017;4802001;troisieme;3e-statistiques;2;en-attente-de-correction;brevet-metropole-2017;12175060
9936;Volumes - Brevet Métropole 2017;active;volumes-brevet-metropole-2017;7;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2017;12175070
9484;Volumes - Brevet Métropole 2018;active;volumes-brevet-metropole-2018;4702001;troisieme;3e-solides-volumes;2;en-attente-de-correction;brevet-metropole-2018;12185010
9500;Statistiques - Brevet Métropole 2018;active;statistiques-brevet-metropole-2018;2;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020
9508;Probabilités - Brevet Métropole 2018;active;probabilites-brevet-metropole-2018;4852001;troisieme;3e-probabilites;2;en-attente-de-correction;brevet-metropole-2018;12185020
9512;Géométrie plane - Brevet Métropole 2018;active;geometrie-plane-brevet-metropole-2018;4;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020
9518;Algorithme de calcul - Brevet Métropole 2018;active;algorithme-de-calcul-brevet-metropole-2018;5;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020
9525;Programme scratch - Brevet Métropole 2018;active;programme-scratch-brevet-metropole-2018;6;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020
9532;Hand-spinner - Brevet Métropole 2018;active;hand-spinner-brevet-metropole-2018;7;troisieme;NULL;2;en-attente-de-correction;brevet-metropole-2018;12185020
11189;QCM - Contrôle continu 1ère - 2020 - Sujet zéro;active;qcm-controle-continu-1ere-2020-sujet-zero;1;premiere;NULL;2;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200010
11198;Fonction exponentielle - Contrôle continu 1ère - 2020 - Sujet zéro;active;fonction-exponentielle-controle-continu-1ere-2020-sujet-zero;6452001;premiere;1e-fonction-exponentielle;2;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200020
11205;Probabilités - Contrôle continu 1ère - 2020 - Sujet zéro;active;probabilites-controle-continu-1ere-2020-sujet-zero;3;premiere;NULL;1;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200030
11213;Suites - Contrôle continu 1ère - 2020 - Sujet zéro;active;suites-controle-continu-1ere-2020-sujet-zero;6252001;premiere;1e-suites-arithmetiques-et-geometriques;2;exercice-corrige;controle-continu-1ere-2020-sujet-zero;14200040
1085;Calcul de rentabilité - Bac ES Amérique du Nord 2008;active;calcul-rentabilite-bac-es-amerique-nord-2008;4;tle-complementaire;tes-exponentielle;2;exercice-corrige;bac-es-amerique-du-nord-2008;15082010
1854;Révisions Fonctions - Bac ES Amérique du Nord 2008;active;revisions-fonctions-bac-es-amerique-nord-2008;1;tle-complementaire;NULL;2;exercice-corrige;bac-es-amerique-du-nord-2008;15082020
1856;Arbre -Loi de probabilité-Bac ES Amérique du Nord 2008;active;arbre-loi-probabilite-bac-es-amerique-nord-2008;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-amerique-du-nord-2008;15082030
1859;Probabilités - Matrice de transition - Bac ES Amérique du Nord 2008;active;probabilites-matrice-de-transition-bac-es-amerique-du-nord-2008;2;tle-complementaire;NULL;2;NULL;bac-es-amerique-du-nord-2008;15082040
1878;Lecture graphique-Intégrale-Bac ES Liban 2008;active;lecture-graphique-integrale-bac-es-liban-2008;1;tle-complementaire;NULL;2;NULL;bac-es-liban-2008;15084010
1880;Probabilités-Loi binomiale-Bac ES Liban 2008;active;loi-binomiale-bac-es-liban-2008;8652001;tle-complementaire;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-liban-2008;15084020
1883;Etude d'une fonction - Economie - Bac ES Liban 2008;active;fonction-economie-bac-es-liban-2008;3;tle-complementaire;NULL;2;NULL;bac-es-liban-2008;15084030
1886;Ajustements affine et logarithmique - Bac ES Liban 2008;active;ajustement-affine-logarithmique-bac-es-liban-2008;4;tle-complementaire;NULL;2;NULL;bac-es-liban-2008;15084040
1152;Matrice de transition - Bac ES Métropole 2008;active;matrice-de-transition-bac-es-metropole-2008;0;tle-complementaire;tes-spe-graphe-probabiliste;2;exercice-corrige;bac-es-metropole-2008;15085010
1210;QCM sur les fonctions-Bac ES Métropole 2008;active;qcm-fonctions-bac-es-metropole-2008;0;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2008;15085020
1219;Probabilités - Loi binomiale - Bac ES Métropole 2008;active;loi-binomiale-bac-es-metropole-2008-2;0;tle-complementaire;NULL;2;exercice-corrige;bac-es-metropole-2008;15085030
1847;Ajustement affine et exponentiel-Bac ES Métropole 2008;active;ajustement-affine-exponentiel-bac-es-metropole-2008;3;tle-complementaire;NULL;2;NULL;bac-es-metropole-2008;15085040
1143;Graphes - Trajet minimal - Bac ES Polynésie française 2008;active;graphes-trajet-minimal-bac-es-polynesie-francaise-2008;9702001;tle-expert;tx-graphes;2;en-attente-de-correction;bac-es-polynesie-francaise-2008;15085510
1893;QCM Lecture graphique - Bac ES Polynésie française 2008;active;qcm-lecture-graphique-bac-es-polynesie-francaise-2008;1;tle-complementaire;NULL;2;NULL;bac-es-polynesie-francaise-2008;15085520
1896;Probabilités - Loi binomiale - Bac ES Polynésie française 2008;active;loi-binomiale-bac-es-polynesie-francaise-2008;8652001;terminale;tc-probabilites-conditionnelles;2;exercice-corrige;bac-es-polynesie-francaise-2008;15085530
1900;Ajustement exponentiel - Bac ES Polynésie française 2008;active;ajustement-exponentiel-bac-es-polynesie-francaise-2008;3;tle-complementaire;NULL;2;NULL;bac-es-polynesie-francaise-2008;15085540
